,Username,Time,Message,Reply,Like,Dislike
0,Kingtrx,1654156270143.0,stop looking at the charts.. there is no money in the market.  Fed stops pumping money to get inflation under control.. if you still want to look at a graph look at when fed started pumping money and also look at that period what that did to btc ... how hard is it to do this  to understand .. and then I have about the war in Ukraine ... don&#39;t misunderstand me I&#39;m also in btc to start selling now I don&#39;t dare .. I hope that a crazy person wants to pay more for btc in this time,,0,0
1,angelkov,1654151445110.0,https://i.ibb.co/Ns4VfgJ/Screenshot-20220602-092120-Binance.jpg<br/>Pump or dump. For eventual bull reversal need at least 33200 with very big possibility to reach 38200 and move above 40K if not the play between 26-32 for the summer more than possible,,3,0
2,neverforget-lol,1654150132030.0,https://i.postimg.cc/pXYCn7gF/Smart-Select-20220602-075554-You-Tube-01.jpg (source: crypto university crew) <br/>If China not changing them zero-strategy world markets suffer bcs of supply-chain topics. Actually we are at the bottom-line. Recession yet is not in. Its to come. Maybe in the US in year 2023 with bigger issues. FED may stop rate-hiking at the end of year. In only 2 out of 10 times Fed s actions (like actual) did not end in ressesion.,,1,0
3,bazgaye129212,1654136591773.0,Guyz the period of great depression is over let&#39;s accept better buy before its start moving towards higher 30s and you are left scratching your head &#128556;,,1,0
4,32DD7B8A,1654132406577.0,Solana is a real garbage  blockchain: be careful!,,1,0
5,rogoclub1,1654126201837.0,&quot;DO YOUR JOB&quot;  DYOR...Bitcoin &amp; Blockchain is  a failed  &amp; unproven UI/UX &amp; there is no store of value unless you paid &lt;$100 for Pet Retard Rocks!..Holochain (HOT) .0025 Fixes this!...<br/>What don&#39;t you understand Bitcoin is a 10 yr old Fomo Pump and Dump by all those who paid &lt;$100 or are using publicly traded company money!..Just what Satoshi envisioned lol...,,0,2
6,bailiar,1654125795493.0,schr&#246;dingers cat does bounce,,0,0
7,rogoclub1,1654124732973.0,"Nothing but retard wankers here in Bitcoin forum every day same idiots fomoing a 10 failed UI/UX Bitcoin project what don&#39;t you understand, unless you paid &lt;$100 You are hodling 60K Pet Retard Rocks!.. Blockchain is for   blockheads!.. Holochain (HOT) is for winners!..<br/>Stop drinking Bitcoin Koolaid!..",,0,2
8,DamageInc,1654123508823.0,keep scrolling,,1,0
9,CryptoMinnow,1654121170340.0,4 digit Bitcoin is coming. You have been warned.,,4,0
10,ialfredalytkina,1654120167997.0,What a big steaming dump on da bulls shitters heads,,0,1
11,cmalherbe,1654119713163.0,BTC dropped by more than the 2017 bullrun...<br/>So I think we are in for a relief rally. Just not exactly sure where. (;,,0,0
12,minimatrix,1654118117413.0,"Well that was a short lived tiny mini bounce.. &#128514;<br/><br/>Its limping along with a wodden leg, poor thing !",,0,0
13,MajorCoign,1654117955067.0,Another article on dangers of qt (quantitative tightening):<br/><br/>https://www.cnbc.com/2022/06/01/kelly-evans-let-the-great-qt-begin.html,,0,0
14,cmalherbe,1654116576980.0,Posted this 20days ago<br/>https://i.postimg.cc/Qt7d1G0r/jYvplBnR.png<br/>Where we are now...<br/>https://i.postimg.cc/8CQ3h3bw/fdRlPLAo.png<br/>Really hope I&#39;m wrong. Would love to see 36 or 38 first.,,0,0
15,Yisa,1654115878050.0,"27200 is range bottom cde&#39;s, bear market rallies can be brutal https://www.tradingview.com/x/TPKfxlMq<br/><br/>https://www.reuters.com/business/aerospace-defense/exclusive-us-plans-sell-armed-drones-ukraine-coming-days-sources-2022-06-01/ AW rekt<br/><br/>https://i.ytimg.com/vi/drUcrbcrJSw/hqdefault.jpg",,3,1
16,angelkov,1654103296207.0,"Pump from here or if not hold, out to recharge later.",,0,0
17,bb1010,1654102777453.0,&quot;The advocates for CBDCs are all out of touch politicians and globalists who are also absolutely abysmal salesmen. They can’t help but come off as evil tech illiterates who want control.<br/><br/>Bitcoin is being built and championed by young optimists. Bullish.&quot;<br/><br/>https://twitter.com/MartyBent/status/1530643628795781120?s=20&amp;t=0n3751f3F-rjAmB17TVJnA,,1,0
18,bb1010,1654102578677.0,"The Secretary of the Treasury, and former Fed Chairman... is going to get live ...... on  camera .....  and say &quot;there have been shocks to the economy that have boosted energy and food prices and supply bottlenecks that have affected our economy badly.. that at the time I didn&#39;t fully understand.&quot;  <br/>????<br/><br/>https://twitter.com/thehill/status/1531800193674387456?s=20&amp;t=zAU3QiPWl8lkKHAO8IgY2Q<br/><br/>No sh** Sherlock! I don&#39;t think this high level government official is so stupid, they know exactly what they are doing.",,0,0
19,MajorCoign,1654102247787.0,Jamie dimon is worried:<br/><br/>https://www.cnbc.com/2022/06/01/jamie-dimon-says-brace-yourself-for-an-economic-hurricane-caused-by-the-fed-and-ukraine-war.html<br/><br/>No mention of crypto.,,1,0
