,Username,Title,Description,ReplyFrom,Reply
0,Jaye Cooper,Hello,The fees are high. No refunds provided. Not recommended. Avoid crypto.com. They were unable to resolve my issue. Withdrawal isn't instant either. It takes 4 days. Once again the incredible high fees is damaging. Do not use this platform. They do not listen to customer concerns. I'll never buy again or use this platform.,Crypto.com,Hi Jaye! You are welcome to get in touch with us via the in-app chat or via email at contact@crypto.com so that we can take an additional look into your case and assist as well as address any concerns that you may have in regards to our fees.
1,Rick Murphy,Unsatisfied customer,,Crypto.com,Hello Rick! Could you please provide us with more details of the reason for your review so we can further assist? You are welcome to reach out to us via email at contact@crypto.com or via the in-app chat. We will be happy to help. 
2,Alexandru,45$ fees for 420$ ?!! 😂,,Crypto.com,"Hello, Alexandru! Feel free to contact us via the in-app chat or send us an email at contact@crypto.com, so we can address any concerns that you may have regarding the applicable fees and help. Thank you!"
3,M.,Gives out fake infos to make ppl restake - useless support,,Crypto.com,Hello! We will gladly provide further insight on our products and services as well as address any concerns. Please reach out to us via the in-app chat or send us an email at contact@crypto.com for further assistance. Thank you!
4,Nuvdeep “Nuvi” Pannu,SCAMMED,"SCAMMED! THIS EXCHANGE IS THE ABSOLUTE WORST!!!! Their customer support is so useless too. I am so unhappy with this exchange and I wouldn’t recommend it to anyone. I told them there’s been unauthorized fraudulent charges on my account and they did nothing about it, they keep asking me for pictures of me which I’ve sent numerous times and they are still not taking any action. Now my money is gone!!!! What the hell! Scammers!!! They don’t care about you and don’t follow financial consumers’ rights policies. I am going to be taking legal action against them since they won’t do anything about it.",Crypto.com,
5,Stacey Marie,Criminal exchange,,Crypto.com,Hello Stacey! Please get back to us via the in-app chat or email at contact@crypto.com so that we can look into the case at hand and assist you further.
6,Dan,BTC wallet stuck,"Today for six hours until now, the BTC are stuck. Can’t top up card and can’t withdraw to external wallet. Support asked me to log out, log in, delete/reinstall, restart phone, update software, eventually they will look into the matter. Can’t trust the functionality of the app/card.",Crypto.com,
7,Stanimir Iliev,Stan,,Crypto.com,
8,Harry,Worst service in whole cryptoverse,"Worst service in whole cryptoverse, canceling SOL withdraws, support blaming solana network. Checked transfers on 6 other wallets, everything are passing in minutes. Tried other network - cardano, same thing, pending... Support ignoring for almost 12 hours. Stop blaming everyone around and take responsibility for your mistakes.",Crypto.com,"Hello there. We would gladly take an additional look at the difficulties you have encountered and offer assistance. You're welcome to reach out to us via email at contact@crypto.com or via in-app chat, so we can further assist you. "
9,Lanny Spinks,Using them for a while,"Using them for a while, haven't faced any major problem so far.",Crypto.com,"Hello Lanny, thank you for taking the time to post your review and feedback. If there is anything that we can help with, please get in touch with us via in-app chat or via email at contact@crypto.com, so we can assist accordingly. We'd be happy to help!"
